controller,annotation,qtd_ingresses,pct_do_total,valores_distintos,valores_encontrados,exemplos_de_ingresses
nginx,nginx.ingress.kubernetes.io/auth-type,6,1.0%,1,basic,internaltools/synthetics-app | internaltools/synthetics-app-auth | core/rd-chat-api-tallos
nginx,nginx.ingress.kubernetes.io/send_timeout,6,1.0%,1,15600,internaltools/synthetics-app-auth | core/ipconfig | core/ipconfig-health-check
nginx,nginx.ingress.kubernetes.io/proxy-buffer-size,5,0.8%,1,2048k,accounts-auth/a3s-api-internal | accounts-auth/a3s-api-internal | accounts-auth/a3s-api
nginx,nginx.ingress.kubernetes.io/proxy-buffers-number,5,0.8%,1,32,accounts-auth/a3s-api-internal | accounts-auth/a3s-api-internal | accounts-auth/a3s-api
nginx,nginx.ingress.kubernetes.io/proxy-next-upstream-tries,5,0.8%,1,8,accounts-auth/a3s-api-internal | accounts-auth/a3s-api-internal | accounts-auth/a3s-api
nginx,nginx.ingress.kubernetes.io/proxy-max-temp-file-size,4,0.7%,1,2048m,accounts-auth/a3s-api-internal | accounts-auth/a3s-api-internal | accounts-auth/a3s-api
kong,ingress.kubernetes.io/rewrite-target,4,0.7%,2,/ | /$1,kafka/kafka-dashboard | accounts-auth/rd-auth | accounts-auth/rd-auth
nginx,nginx.ingress.kubernetes.io/cors-allow-credentials,4,0.7%,1,true,email/email-validator | multi/multichannel-api | dev-center-backend/dev-center-api-ingress
kong,ingress.kubernetes.io/whitelist-source-range,4,0.7%,1,10.0.0.0/8,attract/showcase-backend-rails-internal | connect/appstore-interno | convert/form-integrations-api-internal
nginx,nginx.ingress.kubernetes.io/ssl-protocols,3,0.5%,1,TLSv1.2 TLSv1.3,pope/sidekiq-dashboard-oauth | pope/sidekiq-dashboard-oauth | sre/sidekiq-dashboard-oauth
kong,ingress.kubernetes.io/use-regex,3,0.5%,1,true,accounts-auth/rd-auth | accounts-auth/rd-auth | accounts-auth/rd-auth
nginx,nginx.ingress.kubernetes.io/limit-rpm,3,0.5%,2,1000 | 5,platform/event-api-internal | contact-mgmt/event-api-internal | rdsm/web-signup-user
nginx,nginx.ingress.kubernetes.io/keepalive,2,0.3%,1,64,accounts-auth/a3s-api-internal | accounts-auth/a3s-api-internal
nginx,nginx.ingress.kubernetes.io/keepalive-timeout,2,0.3%,1,120,accounts-auth/a3s-api-internal | accounts-auth/a3s-api-internal
nginx,nginx.ingress.kubernetes.io/proxy-next-upstream,2,0.3%,1,error timeout invalid_header http_502 http_503 http_504,accounts-auth/a3s-api-internal | accounts-auth/a3s-api-internal
nginx,nginx.ingress.kubernetes.io/default-backend,2,0.3%,1,saas-internal,billing/saas-internal | rms/contas-staging
nginx,nginx.ingress.kubernetes.io/auth-response-headers,2,0.3%,1,Authorization,crm/web-sidekiq-oauth | crm/web-sidekiq-oauth
nginx,nginx.ingress.kubernetes.io/cors-allow-methods,2,0.3%,1,"GET, POST, PUT, PATCH, DELETE, OPTIONS",dev-center-backend/dev-center-api-ingress | dev-center-backend/dev-center-api-ingress
nginx,nginx.ingress.kubernetes.io/cors-max-age,2,0.3%,1,86400,dev-center-backend/dev-center-api-ingress | dev-center-backend/dev-center-api-ingress
nginx,nginx.ingress.kubernetes.io/cors-allow-Origin,2,0.3%,1,*,attract/showcase-backend-rails-internal | attract/showcase-backend-rails-public
nginx,nginx.ingress.kubernetes.io/limit-burst-multiplier,2,0.3%,1,2,platform/event-api-internal | contact-mgmt/event-api-internal
