cluster,namespace,ingress,spinnaker_app,chart,repo_chart,ingress_class,spinnaker_url,observacao,status_migracao
staging-234557,devexp,backstage-bot-api,backstage,rails-0.5.3.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/backstage/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,devexp,backstage-entities-api,,,,sem-versão,,sem moniker spinnaker,sem moniker — não gerenciado pelo Spinnaker
staging-234557,devexp,backstage-git-api,backstage,rails-0.5.3.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/backstage/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,devexp,backstage,backstage,rails-0.5.3.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/backstage/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,devexp,backstage-oauth,backstage,rails-0.5.3.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/backstage/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,devexp,backstage-rollbar-api,,,,sem-versão,,sem moniker spinnaker,sem moniker — não gerenciado pelo Spinnaker
staging-234557,devexp,backstage-subscribe-github,backstage,rails-0.5.3.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/backstage/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,devexp,circle-ci-metrics-extractor,circle-ci-metrics-extractor,rails-0.5.3.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/circle-ci-metrics-extractor/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,devexp,metrics-extractor-to-datalake,metrics-extractor-to-datalake,rails-0.4.22.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/metrics-extractor-to-datalake/executions,templatedPipeline,Pronto — só trocar ingressClassName nos values da app
staging-234557,devexp,oraculo-metrics-extractor,oraculo-metrics-extractor,rails-0.5.3.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/oraculo-metrics-extractor/executions,templatedPipeline,Pronto — só trocar ingressClassName nos values da app
staging-234557,devexp,oraculo-staging,,,,sem-versão,,sem moniker spinnaker,sem moniker — não gerenciado pelo Spinnaker
staging-234557,devexp,rdsm-deploy-metrics-collector,rdsm-deploy-metrics-collector,rails-0.5.3.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/rdsm-deploy-metrics-collector/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,devexp,rocknrollout2,rocknrollout2,rails-0.5.3.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/rocknrollout2/executions,templatedPipeline,Pronto — só trocar ingressClassName nos values da app
staging-234557,elasticsearch,kibana-es-cm-staging,,,,sem-versão,,manual (Lens/Freelens),Manual (Lens/Freelens) — kubectl apply direto
staging-234557,email,buz,buzz,manifesto-inline,,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/buzz/executions,manifesto Spinnaker — consultar pipeline para repo,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,email,buzz,buzz,manifesto-inline,,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/buzz/executions,manifesto Spinnaker — consultar pipeline para repo,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,email,cortex,,,https://github.com/resultadosdigitais/cortex,sem-versão,,,
staging-234557,email,email-validator,email-validator,rails-0.5.1.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/email-validator/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,email,email-validator-wh-billing,email-validator,rails-0.5.1.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/email-validator/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,email,email-validator-wh-exact,email-validator,rails-0.5.1.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/email-validator/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,email,email-validator-wh-pubsub,email-validator,rails-0.5.1.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/email-validator/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,email,holmes,holmes,manifesto-inline,,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/holmes/executions,manifesto Spinnaker — consultar pipeline para repo,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,email,ipconfig,ipconfig,manifesto-inline,,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/ipconfig/executions,manifesto Spinnaker — consultar pipeline para repo,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,email,neek-api,neekapi,manifesto-inline,,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/neekapi/executions,manifesto Spinnaker — consultar pipeline para repo,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,email,notify-api,notify-api,manifesto-inline,,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/notify-api/executions,manifesto Spinnaker — consultar pipeline para repo,Manifesto Spinnaker — adicionar stage APISIX na pipeline
